Date,Year,MW,Holiday,Temp_avg,Temp_max,Temp_min,hPa,Hum,Visibility,Wind_avg,Wind_max,Rain,Storm,Fog,Day,Month,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Month_April,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,MW_pred_knr,MW_pred_lr,MW_pred_dtr,MW_pred_abr,MW_pred_rfr,MW_pred_etr,MW_pred_gbr,MW_pred_mlpr,MW_pred_vr,MW_pred_sr,MW_pred_etr_simp
2017-02-21,2017,2157.0,0,28.1,32.0,23.1,1014.5,78.0,7.7,10.6,33.5,1,1,0,Tuesday,February,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1765.65,1904.1123046875,2157.0,2016.1762295081967,2103.82,2157.0,2124.3760435836984,1870.4818189871892,2130.41,2145.55,2157.0
2017-02-22,2017,2089.0,0,26.5,31.6,23.0,1011.6,75.0,8.7,10.4,18.3,1,1,0,Wednesday,February,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1836.25,1898.1982421875,1924.4444444444443,1981.375,2030.07,2089.0,2009.6657162469944,1879.8031417215152,2059.535,2089.77,2088.940909090909
2017-02-23,2017,2133.0,0,28.9,35.0,23.0,1010.4,70.0,9.8,6.5,13.0,1,0,0,Thursday,February,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1842.4,1929.2216796875,2041.8333333333333,2009.3636363636363,2067.14,2133.0,2074.5562591275184,1911.7046386165346,2100.0699999999997,2102.12,2133.0
2017-02-24,2017,2131.0,0,28.4,31.5,25.6,1011.0,72.0,9.0,10.4,18.3,0,0,0,Friday,February,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1908.4,1931.6298828125,2041.8333333333333,2019.0555555555557,2008.63,1970.2727272727273,2015.3935312480046,1925.9795855872194,1989.4513636363636,1916.59,1966.9454545454546
2017-02-25,2017,2080.0,0,27.8,31.0,24.9,1011.5,76.0,10.0,11.3,20.6,0,0,0,Saturday,February,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1875.85,1823.0654296875,2008.0,2002.4387351778655,1995.35,1943.2454545454545,1938.6076347336345,1819.543308825313,1969.2977272727271,1921.72,1957.2636363636364
2017-02-26,2017,1811.0,0,28.9,31.0,27.0,1011.6,74.0,10.0,10.0,14.8,0,0,0,Sunday,February,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1858.55,1663.8232421875,1811.0,1755.7307692307693,1776.71,1811.0,1807.7592651918849,1734.9838308696167,1793.855,1840.67,1811.0
2017-02-27,2017,1675.0,1,28.5,31.9,24.0,1010.0,70.0,10.0,12.0,20.6,0,0,0,Monday,February,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1907.3,1703.9931640625,1675.0,1718.3333333333333,1706.18,1675.0,1694.1775411206934,1743.3303348047182,1690.5900000000001,1652.2658333333334,1675.0
2017-02-28,2017,1727.0,1,27.8,31.5,24.2,1006.1,67.0,9.5,7.8,13.0,0,0,0,Tuesday,February,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1825.65,1724.4091796875,1727.0,1716.6,1718.7,1727.0,1700.2782456486327,1790.152338241853,1722.85,1742.6617012987012,1727.0
2017-03-01,2017,1912.0,0,28.7,33.2,25.3,1002.7,61.0,10.0,10.0,14.8,0,0,0,Wednesday,March,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1874.1,1793.3955078125,1900.0,2004.142857142857,1943.92,1912.0,1964.3873809363201,1794.6426387946317,1927.96,2014.03,1912.0
2017-03-02,2017,1920.0,0,28.9,33.3,25.5,1004.9,65.0,10.0,12.6,20.6,0,0,0,Thursday,March,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1915.25,1807.0732421875,1900.0,2016.1762295081967,1993.1,2019.7181818181818,2037.0000548464147,1803.536045718557,2006.409090909091,1965.87,2026.7363636363636
